id,due,name,text
70,2024-11-21T00:00:00Z,member-gj3t,"""What does the day-to-day life of a data steward in a research group look like?"" One of the many excellent questions Lars Schöbitz received
 after his talk on Thursday. Answers will be available as a recording 
soon. In the meantime, you can view his slides here: https://lnkd.in/dNitqvMY

💥 Spoiler 💥 His 10 learnings from 3 years:

#1 Technology is not on our side
#2 ETH wants reproducibility
#3 Data management is project management
#4 Predictability wins
#5 Low IT affinity is not a lack of aptitude
#6 Data != Data
#7 Data management is a process, not a checkbox
#8 Findable: Publish for humans and computers
#9: 9 to 5 is possible
#10 Funding for Open Research Data exists

hashtag#openscience hashtag#openresearchdata hashtag#datastewardship"
71,2024-11-28T00:00:00Z,member-7i21,"🌍✨ Updates from #COP29! With the latest developments on Article 6.4, we were happy to dive into the insightful briefing note by Dr. Chipo Mukonza and Dr. Samir Thapa from @MECS programme Loughborough. Their focus on integrating energy justice into carbon projects is crucial. 

Key questions to ponder in carbon offsetting:

1. How are burdens and benefits being distributed? ⚖️
2. Are marginalized groups recognised and includedin decision-making and project design? 🗳️
Let's ensure carbon projects are just and inclusive! 💚 #Sustainability #EnergyJustice #CarbonOffsetting #ClimateAction

What are your thoughts on these developments? 🤔💬"
72,2024-12-05T00:00:00Z,member-xlqc,"📊 What would you create if given the challenge to turn raw data into compelling stories?

Last week, openwashdata at GHE hosted an exciting hackathon, challenging data enthusiasts to dive into one of our 30+ datasets and craft innovative visualizations—and the results were absolutely inspiring! 🎉

🌟 A huge congratulations to our winner, @winner_name! Their visualization blew us away with its creativity, clarity, and ability to tell a powerful story with data. Check out their incredible work here: [link].

👏 Shoutout to @second_place and @third_place for their prize-winning contributions as well! Your efforts truly showcased the potential of data visualization to inform and inspire.

This event reaffirmed our belief in the power of open data to drive innovation and collaboration. If you’re curious to learn more about openwashdata or explore partnership opportunities, don’t hesitate to reach out—we’d love to connect! 🚀"
73,2024-12-09T00:00:00Z,member-pzlu,"Master student Teymour D'Andrea is working to build better, cheaper, stronger toilets in South Africa with @Antoinette van der Merwe and the NGO @Nova Institute NPC.  We are grateful to funding from @ETH4D."
74,2024-12-10T00:00:00Z,member-wkou,"Elia Weber has been developing and testing low-cost flow sensors with different gas mixtures. His custom-built setup in the wet lab fume hood uses mass-flow controllers, humidifiers and heaters to carefully control the test parameters."
75,2024-12-11T00:00:00Z,member-wkou,"Timon Mettler's data acquisition and transmission device, which focuses on being low-cost and low-power, was built in the mechanical and electronic workshop. The wet lab’s electronic test-bench helped to find which elements used most power."
76,2024-12-12T00:00:00Z,member-wkou,"Lorenzo Lafranchi is testing recycled plastic properties, and uses our SLA printer to quickly prototype injection molds (bottom). Here he is checking a mould for a gas sensor housing channel before testing and injection in the mechanical workshop."
77,2024-12-13T00:00:00Z,member-wkou,"Ylva Peter is designing a low-cost, robust liquid flow rate measurement device aimed at better understanding biogas digesters’ performance. She can prototype quickly with different materials thanks to our laser printer!"
80,2025-01-09T00:00:00Z,member-qaze,"🌍 New Blog Post: Who gets a seat at the table? 🌍

@Jan Freihardt's new blog ""Who gets a seat at the table? The exclusive world of UN Climate Conferences"" highlights how global events such as COPs often restrict access to the very people most affected by climate change, raising urgent questions about inclusivity and representation in the fight for our planet’s future. 

Read the post here: https://ghe.ethz.ch/ghe-blog-news/2025/01/blog-who-gets-a-seat-at-the-table-the-exclusive-world-of-un-climate-conferences.html"
81,2025-01-16T00:00:00Z,member-gu8s,"Leveraging computer vision to automate 🍄‍🟫 growth detection

Jules Peter and Colin Walder are experimenting with a setup to automatically measure  🔭 the growth of fungi on human feces💩. The goal is to better observe fungal growth and increase measurement accuracy, allowing for larger-scale experiments 👨🏻‍🔬.

Want to help us improve this setup? GHE is currently looking for a student with strong programming skills 👩🏽‍💻and an interest in how mushrooms could improve the sanitation of human waste. You can find all of our open student projects here: https://ghe.ethz.ch/work-with-us/open-student-projects.html"
82,2025-01-23T00:00:00Z,member-pzlu,"Exciting insights from the World Economic Forum in Davos! 🌍

Elizabeth Tilley shed light on the crucial challenges facing the implementation of WASH💧 technologies in low- and middle-income countries.

Interested in learning more? 💡The full session ""WASH-ing Away Inequities"" is available for viewing here: https://www.weforum.org/open-forum/event_sessions/open-forum-wash-ing-away-inequities/"
83,2025-01-30T00:00:00Z,member-l5ex,"📣exciting news from Cape Maclear Malawi! 🇲🇼 @MAVT   student Raphael Mignot-Bahisson worked on an improved trash incinerator 🗑️🔥👫🏽for this village to help prevent open burning.  In consultation with the community👫🏽, he was able to increase the quantity of waste burned, reduce the air pollution and improve acceptance of this exciting technology."
84,2025-02-06T00:00:00Z,member-7i21,"🎨 Final exam... but make it ART! ✍️✨

For an extra 2 points, we challenged students in our class 'International Engineering: from Hubris to Hope' to illustrate their favourite lecture—and they delivered!

Who said learning can’t be fun, even in an exam? 🤓🎭 also great feedback for us to learn what the main takeaways were for students. 

Swipe through the best illustrations & let us know—should this become a tradition? 👇🎨 can you spot Colin Walder ?"
85,2025-02-13T00:00:00Z,member-xlqc,"🚀 New R Data Package Published: WHO's Health Glossary Now Easily Accessible! (https://openwashdata.github.io/glossarywho/)

Health data can be complex, but clear definitions make all the difference. The openwashdata team recently published a structured WHO glossary as an R package, making it easier for researchers, policymakers, and analysts to reference key health terms directly in their workflow.

🔍 What’s inside?
✅ A clean, structured dataset of WHO definitions
✅ Ready for analysis, visualization, and integration into reports
✅ Easy-to-use website, categorised by thematic areas in the WHO report: 
✅ Open-access for everyone!

If you're working with health data and want to standardize terminology effortlessly, check it out! Let’s make publishing more transparent.

How do you handle consistent terminology in your work?"
86,2025-02-20T00:00:00Z,member-h8if,"🌿 Nature's Dream Team for Eco-Friendly Waste Management! 🌎♻️
We're bringing together two superstar decomposers - Fungi 🍄 and Black Soldier Fly larvae 🐛  

Are you nterested bringing organic waste management to a new level? 

We might have the topic for your Bachelor or Master thesis!  

🔹Use of fungi as a pretreatment to increase the quality of Black soldier fly feeding substrate 
 https://sirop.org/app/8c5bfbf9-852f-489a-8e18-680fb16f42a5
🔹Test Black soldier fly frass as a mushroom growing substrate
https://sirop.org/app/e67138e0-7ddb-4ea2-8b7c-f60db5143700"
87,NA,member-mbh2,"🚀 Kicking Off Our Respiratory Health Study! [Update 1/4]

Our field team meeting marked the start of our study on burden of chronic respiratory symptoms and air pollution exposure among waste pickers in Blantyre, Malawi. Led by PhD student @Saloni Vijay, the project officially kicked off last Sunday! 

👥 Team in photo (left to right): @Chana Khuluza, @Juniah Mzeze, @Dunia Wasili, Anstead Kankwatira, @Hope Chilunga, Rose Malamba, Elizabeth Jalisi, @Saloni Vijay, Ramsey Mauka, Innocent Matchipisa.

#AirPollution 🌍 #LungHealth 🫁 #FieldWork"
88,NA,member-mbh2,"📝 Training for a Successful Survey! [Update 2/4]

A well-prepared team = a successful survey! ☀️ Here’s our questionnaire team gearing up for fieldwork for our study on Burden of Chronic Respiratory Symptoms & Air Pollution Exposures Among Waste Pickers. @Saloni Vijay led a briefing, ensuring clarity & accuracy, while the team reviewed translations — all while soaking up some sun & vitamin D! ☀️💪  After training, we took the questionnaire to the field for a pilot study to refine questions. 🏕️ 

💻 Behind the scenes, a big thanks to @Colin Walder in 🇨🇭 for refining the questionnaire coding!

@Chana Khuluza, @Juniah Mzeze, @Dunia Wasili, @Ramsey Mauka"
89,NA,member-mbh2,"🫁 Spirometry Refresher Training! [Update 3/4]

As part of our study on Burden of Chronic Respiratory Symptoms & Air Pollution Exposures Among Waste Pickers, @Lindsay Zurba led an intensive training this Monday on conducting spirometry for both children & adults. This ensures our team is well-equipped to assess lung function among informal waste pickers.

Our spirometry team: Lindsay Zurba, Anstead Kankwatira, Rose Malamba, Elizabeth Jalisi, Bright Mnesa"
90,NA,member-mbh2,"Field work is officially starting! 🎉 [Update 4/4]

Our team is ready to go, and we’re all set up at the Mzedi dumpsite to collect data on the burden of chronic respiratory symptoms and air pollution exposures among waste pickers, as a part of PhD thesis of @Saloni. Credits to @Hope for setting up the tent 🏕️!

@Elizabeth Tilley @Jamilah Meghji, Dr. Peter Banda @Lindsay Zurba @Saloni Vijay, @Colin walder @Chana Khuluza, @Juniah Mzeze, @Dunia Wasili, Anstead Kankwatira, Rose Malamba, Elizabeth Jalisi,  @Ramsey Mauka, Innocent Matchipisa, @Hope Chilunga"
91,2025-02-27T00:00:00Z,member-gj3t,"🚀 Exciting Opportunity: Scientific Assistant - Data Science / Software Engineer at ETH Zürich! 🧪💻

Are you passionate about #OpenScience and #DataScience? Join our team at the Global Health Engineering group (@D-MAVT) at @ETH Zürich! We're looking for a talented individual to support our two ongoing projects funded by the Open Research Data Program of the ETH Board: (1) openwashdata community and (2) FAIR Data Practices for Qualitative Research in Transdisciplinarity.

https://jobs.ethz.ch/job/view/JOPG_ethz_JdKElDackUdCjqVlFG

🔍 What we're looking for:

- Proficiency in Git, GitHub, R, Python, RStudio IDE, VS Code
- Expertise in R Tidyverse packages
- Interest in use of Large Language Models (LLMs) in academia
- Innovative thinker with a knack for process improvement
- Early career professional seeking academic project experience

🌍 About us:

We're a diverse, interdisciplinary team of 15 dedicated professionals working on resource-constrained countries. We value openness, creativity, and continuous improvement."
92,2025-03-06T00:00:00Z,member-a8ml,"Exciting news from Mzuzu, Malawi! 🇲🇼 With support of BASEflow Limited, we started the construction of a novel biogas plant that is fuelled by human waste 💩

-💡 Based on GHE research, ways to safely treat the effluent from the biogas plant will be tested and optimized over the next 5 years under real conditions.
 -🌿 Safely treated effluent contains valuable nutrients and can be used in agriculture as organic fertilizer 
- 🤝 This living lab space allows us to closely interact with different stakeholders such as municipalities, farmers, and local business owners to co-create knowledge and find out what is needed for the long-term success of such technology."
93,2025-03-13T00:00:00Z,member-gj3t,"📢 Exciting news from the Swiss Reproducibility Network (SwissRN)! 🇨🇭

Did you know SwissRN is dedicated to promoting transparent, reproducible, and robust research practices across Switzerland? They build a network of local nodes across the country.

@ETH Zürich is an institutional member of SwissRN and @Lars is now the local node leader for ETHZ! 🎉

Local nodes are the backbone of SwissRN, driving activities like working groups, journal clubs, training workshops, and more.

👉 Learn more about SwissRN, its mission, and how to get involved: https://www.swissrn.org/
👉 Find your local node: https://www.swissrn.org/contents/community/nodes/
👉 Discover SwissRN's institutional members: https://www.swissrn.org/contents/community/organisation/

Let's work together to strengthen research integrity! 🤝 #SwissRN #Reproducibility #OpenScience #OpenResearchData"
94,2025-03-20T00:00:00Z,member-qaze,"🌍 New Blog Post: ""Teaching in Ghana - Confronting Privilege and Power in Global Academia"" 🌍

@Jan Freihardt's new blogpost reflects on a teaching experience in Ghana 🇬🇭, during which he was confronted with uncomfortable questions about historical inequalities, resource extraction, and the role of privileged academics in North-South collaborations. 
We are curious: Have you experienced similar dynamics in North-South teaching or research settings? What approaches have helped you to ethically navigate such spaces, to foster more ethical and truly reciprocal knowledge exchanges? 

Read the post here: https://ghe.ethz.ch/ghe-blog-news/2025/03/blog-teaching-in-ghana-confronting-privilege-and-power-in-global-academia.html"
95,2025-03-27T00:00:00Z,member-gj3t,"We’re excited to welcome Nicolò to the Global Health Engineering team! 👋

Nicolò joins us as a Data Science Intern, bringing his expertise in computational methods and programming, along with experience from his MSc in Cosmology. He will be contributing to our efforts on openwashdata.org and advancing FAIR Data Practices for Qualitative Research in Transdisciplinarity through fairqual.org.

Welcome to the team, Nicolò! 🎉
Learn more about him here: https://openwashdata.org/about/nicolo/"
96,2025-04-03T00:00:00Z,member-gj3t,"Did you know that all MSc theses from our research group are published through the ETH Research Collection? 📚 ✨ By doing this, we archive their work, showcase the incredible work of our students, and contribute to open access and knowledge sharing. 🤝

To further promote accessibility and innovation, we strongly encourage our mechanical engineering students to apply CC-BY licenses to their theses. ✅ Doing so empowers others to build upon your work, fostering collaboration and driving progress in health engineering worldwide. 🌍

Explore the collection here: https://ghe.ethz.ch/publications/theses.html"
97,2025-04-10T00:00:00Z,member-l5ex,"🌞💦We’re so proud of Master student @Adriana Niggeli who worked with farmers 🧑🏾‍🌾👨🏿‍🌾 in Cape Maclear Malawi 🇲🇼 to develop a network of solar irrigation pumps. These pumps 🧴 mean that farmers can continue to grow and harvest during the dry months 🥵, ensuring a year-round income."
98,2025-04-17T00:00:00Z,member-7i21,"🎓 Celebrating MSc Student Presentations! 🎉

Last week, we had the pleasure of watching our MSc students present the results of their research—an inspiring showcase of curiosity, creativity, and critical thinking across a wide range of important topics.

Congratulations to all presenters!

👇 Here are the students and their project titles:

Elia Weber - Biogas sensor development: from prototyping to production ⚙️
Silas Schweizer - Model and visualization of recyclable material collection network ♻️
Teymour d'Andrea - Urine diverting toilet design, manufacturing, and testing 🚽
Lukas Walker - Estimating uncertainty in past biogas offsett projects and methodologies 📉
Noah Waeger - Feasibility study of modular water filters 💧"
99,2025-04-24T00:00:00Z,member-h8if,"🎉🎉🎉 We’re pleased to introduce Padraic Casserly, our new PhD student! 🎉🎉🎉
Padraic is an experienced global health engineer, with years of experience implementing developmental projects in Sub-Saharan Africa. 
For his research he will work with partners in Malawi 🇲🇼 to optimize low-cost biogas systems 🔥 and deliver renewable energy♻️ and sanitation solutions🚽, directly contributing to Switzerland's carbon reduction and international development goals ✅.Elizabeth Tilley"
100,2025-05-01T00:00:00Z,member-zt6s,"🔒 𝗗𝗶𝗱 𝘆𝗼𝘂 𝗸𝗻𝗼𝘄 𝟮𝟳% 𝗼𝗳 𝗱𝗮𝘁𝗮 𝘂𝗽𝗹𝗼𝗮𝗱𝗲𝗱 𝘁𝗼 𝗔𝗜 𝘁𝗼𝗼𝗹𝘀 𝗶𝘀 𝗰𝗹𝗮𝘀𝘀𝗶𝗳𝗶𝗲𝗱 𝗮𝘀 𝘀𝗲𝗻𝘀𝗶𝘁𝗶𝘃𝗲?* Keep your research interviews secure with local transcription - introducing 𝚐𝚑𝚎_𝚝𝚛𝚊𝚗𝚜𝚌𝚛𝚒𝚋𝚎, a new Python package developed right here at GHE! 🚀

This powerful tool streamlines the transcription of audio files while also performing speaker diarization, meaning it identifies and separates who is speaking when. It uses cutting-edge open-source models – 𝗙𝗮𝘀𝘁𝗲𝗿 𝗪𝗵𝗶𝘀𝗽𝗲𝗿 and 𝗣𝘆𝗮𝗻𝗻𝗼𝘁𝗲 – to obtain the best possible results.

Crucially, 𝚐𝚑𝚎_𝚝𝚛𝚊𝚗𝚜𝚌𝚛𝚒𝚋𝚎 helps 𝗿𝗲𝗺𝗼𝘃𝗲 𝘁𝗵𝗲 𝗿𝗶𝘀𝗸 𝗼𝗳 𝗹𝗲𝗮𝗸𝗶𝗻𝗴 𝗰𝗼𝗻𝗳𝗶𝗱𝗲𝗻𝘁𝗶𝗮𝗹 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘁𝗶𝗼𝗻 𝘁𝗼 𝘁𝗵𝗶𝗿𝗱 𝗽𝗮𝗿𝘁𝗶𝗲𝘀. 🔒 You have the flexibility to run it locally on your machine, ensuring your sensitive data stays secure. For those working with larger audio files or wanting to avoid slowing down their local computer, we've also provided clear instructions to run it directly on the 𝗘𝘂𝗹𝗲𝗿 𝗰𝗹𝘂𝘀𝘁𝗲𝗿, which is open to all ETH members. 💻

𝗪𝗵𝘆 𝗰𝗵𝗼𝗼𝘀𝗲 𝚐𝚑𝚎_𝚝𝚛𝚊𝚗𝚜𝚌𝚛𝚒𝚋𝚎 𝗮𝘁 𝗘𝗧𝗛? 🤔 Because we're actively collaborating with IT services here to bring you an even more seamless experience! We're working towards providing a fast, one-click access to the tool directly from your browser window on Euler's JupyterHUB instance – 𝗻𝗼 𝗶𝗻𝘀𝘁𝗮𝗹𝗹𝗮𝘁𝗶𝗼𝗻 𝗿𝗲𝗾𝘂𝗶𝗿𝗲𝗱! 🤯

But that's not all! ✨ 𝚐𝚑𝚎_𝚝𝚛𝚊𝚗𝚜𝚌𝚛𝚒𝚋𝚎 has been specifically designed with 𝗙𝗔𝗜𝗥 𝗗𝗮𝘁𝗮 𝗣𝗿𝗮𝗰𝘁𝗶𝗰𝗲𝘀 𝗳𝗼𝗿 𝗤𝘂𝗮𝗹𝗶𝘁𝗮𝘁𝗶𝘃𝗲 𝗥𝗲𝘀𝗲𝗮𝗿𝗰𝗵 𝗶𝗻 𝗧𝗿𝗮𝗻𝘀𝗱𝗶𝘀𝗰𝗶𝗽𝗹𝗶𝗻𝗮𝗿𝗶𝘁𝘆 in mind, aligning perfectly with the goals of the FAIRqual project. 💪 We believe in making research data Findable, Accessible, Interoperable, and Reusable, and this package is a significant step towards achieving that for qualitative data in collaborative, transdisciplinary settings.

A big thank you to @Ariane Wenger and @Anne-Sophie Schaltegger at TdLab for their valuable early-stage feedback! 🙏

Stay tuned for more updates on the one-click browser access! 👀

Ready to try 𝚐𝚑𝚎_𝚝𝚛𝚊𝚗𝚜𝚌𝚛𝚒𝚋𝚎? Check out the GitHub repository for installation instructions and usage examples: https://github.com/Global-Health-Engineering/ghe_transcribe

We're excited to see how you use 𝚐𝚑𝚎_𝚝𝚛𝚊𝚗𝚜𝚌𝚛𝚒𝚋𝚎 to advance your research and promote secure, open, and FAIR data practices! 🙌

(*) “27% of data uploaded to AI tools is classified as sensitive”
Source: Cyberhaven’s 2024 “AI Adoption and Risk Report” found that 27.4% of data submitted to AI tools by employees was sensitive, up from 10.7% the previous year-a 156% increase.
https://www.cyberhaven.com/blog/shadow-ai-how-employees-are-leading-the-charge-in-ai-adoption-and-putting-company-data-at-risk
https://www.scworld.com/news/shadow-ai-on-the-rise-sensitive-data-input-by-workers-up-156

#OpenScience #FAIRData #QualitativeResearch #Transdisciplinarity #ETHZ #GlobalHealthEngineering #Python #MachineLearning #SpeechToText #SpeakerDiarization #DataSecurity #EulerCluster #JupyterHUB #Innovation"
101,2025-05-08T00:00:00Z,member-wkou,"♻️ Procrastinating your trip to the recycling point? A new planning workflow combines GIS and MILP to improve access to Sammelstellen in Zurich and beyond.
Environmental Sciences Master’s thesis student @Silas Schweizer developed an urban planning workflow combining GIS and Mixed-Integer Linear Programming to improve @Entsorgung + Recycling Zurich’s glass and metal recycling network.
🔍 His analysis focusing on pedestrian access and network constraints recommends 12 new collection points, reducing:
- the number of underserved residents by 9’000
- average walking time to recycling points by 20 seconds
👏 A great example of using data to improve recycling rates and helping reach emissions reductions targets. 

🖥️ Code & data: https://doi.org/10.5281/zenodo.15320179
📖 Publication coming soon!
#Recycling #GIS #UrbanPlanning #ETHZurich #SmartCities #StudentSuccess"
102,2025-05-15T00:00:00Z,member-gu8s,"How do smallholder farmers in Malawi 🇲🇼 use biogas?

Thanks to a consistent supply of nutrient-rich effluent, farmers now planning to plant 🌽 multiple times annually to boost their harvests which is important given that around half of Malawi's population is affected by food insecurity. Moreover, having access to biogas also allows farmers to cook indoors without smoke, eliminating a significant source of air pollution.  Natalie Alice Boyd Williams's research was supported by the ever wonderful Stella Chisenga [ON LINKEDIN], Owen Mtambo [ON LINKEDIN], and Cyrus Lloyd [NO LINKEDIN].

Would you like to learn more about Natalie Alice Boyd Williams research? https://ghe.ethz.ch/about/people/person-detail.MzM0NzQy.TGlzdC80MTI2LC0xNDYwMDMwNTU3.html"
103,2025-05-22T00:00:00Z,member-pzlu,"🥳 It was an exciting day at the ZHAW biogas plant in Feldbach🇨🇭. Our two PhD students: microbiologist Jules Peter and our newest member, Padraic Casserly, who will focus on biogas process engineering, together with Dr. Jakub Tkaczuk, had the opportunity to meet Dr. Wolfgang Merkle to bridge the gap between fundamental and applied research 🔬. Our work will open up valuable knowledge transfer, strengthening our expertise and field experience in sustainable energy research! ⚡️"
104,2025-05-27T00:00:00Z,member-gu8s,"Publication alert! 📢

Our latest article, ""Expanding horizons: The pedagogical benefits of museum visits for engineering students"", is out now in ETH's Learning and Teaching Journal. 

Lukas Walker, Colin Walder and Elizabeth Tilley highlight how project-based learning can bolster engineering education. 👷‍♀️💡 As part of the course ""International Engineering: From Hubris to Hope"", students visited and reflected on an exhibition on colonialism and looted art 🏛️, bridging the gap between technical knowledge and the complex real-world contexts engineers must navigate in their careers. 🌍

Link to the paper (open access): https://doi.org/10.16906/lt-eth.v5i1.258

Want do learn more about the course which will be offered again in HS 2025? Click here! https://www.vorlesungen.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lang=en&semkez=2024W&ansicht=KATALOGDATEN&lerneinheitId=183181&"
105,2025-05-29T00:00:00Z,member-gj3t,"🌟 GHE Yearly 2025: Third Edition at Kloster Fischingen 🌟

It's time for our GHE Yearly this week! In our third edition, we've grown from to a team of 10 people in 2024 to a team of 17 people in 2025. Over the next three days, we'll be sharing updates and connecting at the beautiful Kloster Fischingen.

Follow along with our agenda:

📅 Day 1: Team Updates & Collaboration

- 📊 GHE statistics: Student supervision, OpenWashData, LinkedIn, and ETH Research Collection
- 🎓 PhD research showcases
- 🎨 Crafting workshop

🚀 Day 2: Vision, Strategy & Team Building

- 🌠 Vision for GHE: Inspiring outlook for the future
- 🧭 Theory of Change Workshop: How do we get where we want to be?
- 🔍 What Works, What Doesn’t?: Honest reflections and forward planning
- 💻 Website Content Sprint: Refreshing our digital presence together
- 🏸 Badminton Tournament: Friendly competition in our favourite team sport

🌳 Day 3: Taxonomy, Goal Setting & Nature

- 🗂️ Taxonomy Workshops: Focusing on structure and clarity
- 🎯 Goal Setting for Next Year: Aligning on priorities and ambitions
- 📝 Retreat Wrap-Up: Reflections and next steps
- 🥾 Hike Around Fischingen: Closing with a scenic hike

@tag (everyone): Looking forward to an inspiring and productive retreat together! Let’s make this our best GHE Yearly yet!"
106,2025-06-05T00:00:00Z,member-l5ex,"repost https://www.linkedin.com/posts/madhukar-pai_lancet-ugcPost-7336380842954420224-srNt?utm_source=share&utm_medium=member_desktop&rcm=ACoAABLsl8wBMQGp5jqwibl3_-8l5G5xcB1MJv8 with the caption: ""We need to rethink where we host (Global Health) conferences:  an excellent commentary piece is out now!"""
107,2025-06-12T00:00:00Z,member-gj3t,"🌍 Advancing Open Research Data (ORD) Practices: Collaboration & Innovation in the ETH Domain

Last week, Elizabeth Tilley and Lars Schöbitz had the opportunity to share experiences with Project FAIRqual at the ETH Board Open Research Data conference. 🤝 

This collaborative project brings together Global Health Engineering's expertise in open data practices with the innovative research approaches of  Franziska Mohr, Mollie Chapman, and Bianca Vienni-Baptista from the Department of Environmental Systems Science (D-USYS), ETH Zürich D-Transdisciplinarity Lab, focusing on FAIR Data Practices for Qualitative Research in Transdisciplinarity. 🔬✨

We discussed four critical challenge areas when sharing qualitative data:

- 🔒 Practical issues around confidentiality and data heterogeneity 
- 🤫 Ethical commitments to participant trust 
- 🧠 Epistemological traditions that value embodied research presence 
- 📊 The predominantly quantitative origins of current open science frameworks

The FAIRqual project represents our commitment to advancing open research practices while respecting the unique requirements of qualitative research. 🌱 We’re collaboratively developing new approaches that honor both open science principles and methodological integrity, creating pathways for more inclusive research practices. 🌐

💡 Explore our full presentation: https://fairqual.org/gallery/slides/

#OpenScience #QualitativeResearch #FAIR #Transdisciplinarity #OpenData"
108,2025-06-19T00:00:00Z,member-gj3t,"🎯 Every Monday at GHE, we kick off our team meeting with a twist!

Instead of the usual round-robin updates, we ask a ""Question of the Week"" that determines our speaking order. After 47 weeks of questions, we've built quite the dataset! 📊

A while ago, we had a question that sparked some interesting insights:

How many vacation days would you like per year?"" 🏖️

Here’s what we discovered:
- Team members' dream vacation allowance ranges from **40 to 100 days**
- The **average** is **52 days** – that's **2.6x the current ETH standard of 20 days**
- The numbers reflect a team that values: rest and recovery, space to pursue passions outside of work
📈 The visualization shows each team member's preference (anonymized) compared to our group average. Where would you place yourself on this scale?

🤔 Question for you:  
If you could design your ideal work year, how many vacation days would it include? And more importantly – what would you do with that time?"
109,2025-06-26T00:00:00Z,member-zt6s,"🌟 Another productive week at GHE! Our team has been diving deep into ongoing projects here in Zurich, while part of our crew is hard at work in Blantyre, Malawi.

Here, we share the most fan-tastic moments of our week—reminding us that sometimes the best ideas come with a refreshing breeze! 😄

What’s your secret to staying cool while working hard?

#StayCool"
110,2025-07-03T00:00:00Z,member-wkou,"""Measure twice, cut once"" can be difficult to apply to iterative software and hardware development, but is important when deploying hardware far away 🌍.  For our remote sensor data acquisition and transmission device, we put the chances on our side by testing as many cases as possible in the lab. It was a delight when a prototype sent to Mzuzu, Malawi 🇲🇼 worked right out of the box!

💻 Software and firmware: Fiona Muntwyler
⚡ Electronics: Nicolas Seemann-Ricard
🛠️ Field testing: Padraic Casserly"
111,2025-07-10T00:00:00Z,member-gu8s,"Our PhD student, Padraic Casserly, is currently in Mzuzu 🇲🇼 , busy setting up and testing various components of the newly installed biogas reactor. The goal of this installation is to evaluate the performance of biogas reactors under real-world conditions. 🧪 With the assistance of the two biogas operators, Mwai Kandaya and Esau Phiri, they are now conducting their initial pathogen tests. 🔬 

Want to learn more about this project? You can find all our biogas-related research under the ""Publications"" tab on our website! 📚"
112,2025-07-17T00:00:00Z,member-pzlu,"Great to see research making a real-world impact! 🎉

Dominic Wälti’s master’s thesis (available here: https://doi.org/10.3929/ethz-b-000646138) led to the development of a tipping aid, now used by ERZ. The tool improves working conditions and safety for frontline workers: a great example of how academic work can directly support essential public services.

Thesis to implementation takes time, but the result is a practical innovation that makes a difference."
113,NA,member-0iz8,"Last month, GHE hosted its first ever makeathon! 🛠️

In partnership with @[ETH4D], Fondation Latsis, and @[UW-Madison College of Engineering] Design Innovation Lab, GHE members @[Rebecca Alcock] and @[Padraic Casserly] facilitated the event at @[Student Project House], titled “Weathering Change: A Mini Makeathon for Climate Adaptation.” 

During a quick 28 hours, students were charged with finding innovative solutions to climate change challenges for coastal communities in Bangladesh 🇧🇩 Read all about it in our newest blog post."
114,2025-07-24T00:00:00Z,member-890s,"🚀 The future of open science is here, and it's powered by AI!
Last week, we hosted the first-ever openwashdata conference 🌍✨and our AI hackathon delivered incredible prototypes:
📊 Interactive dashboards
 🎯 Data visualizations
 📝 Automated slide creation
 📚 Streamlined research publishing
 🗄️ Smart data management
 🔍 Image recognition
The goal isn't just faster research - it's about making research more accessible and reproducible. AI handles routine tasks so researchers can focus on the actual discovery work.
What AI tools are transforming your daily workflow? Which models are you using? Share your biggest AI win below! 👇
#OpenScience #AI #DataScience #Research #wash"
115,2025-07-31T00:00:00Z,member-l5ex,"When it's too hot in the office to work, it's best to just go llama trekking 🦙    
https://www.yacana.ch/ (not a paid advertisement, just a good recommendation from us to you)"
116,2025-08-07T00:00:00Z,member-zt6s,"Want to learn about plastic bag recycling? 🔄 Six weeks ago, @Elizabeth Tilley, Thalia Laios, @Padraic Casserly and @Waste Advisors interns visited Green Pak near Blantyre, Malawi 🇲🇼 - and captured this fascinating transformation process on video.

Watch plastic waste become woven bags through mechanical recycling: collection & sorting → shredding into flakes → melt extrusion (yes, ""spaghettified""  🍝 into molten strands!) → film formation → weaving into durable fabric. 

Malawi's plastic crisis: The country produces 75,000 tonnes of plastic annually, with 80% being single-use and non-recyclable (UNDP/Turpie et al., 2019). More critically, an estimated 28,000-32,000 tonnes of mismanaged plastic waste enters the environment each year due to a 42% waste collection rate (UNDP, 2019).

Why this matters : Facilities like Green Pak provide alternatives to the 15 (!) currently operating plastic manufacturing companies in Malawi (UNDP/Turpie et al., 2019). Each woven bag represents approximately 50-100 discarded items diverted from Lake Malawi and urban drainage systems.

Have you seen similar initiatives tackling plastic waste in your region?"
118,2025-08-21T00:00:00Z,member-gj3t,"Did you know we are teaching a free 9-week ""Data Science with R"" course soon? Curious to learn more, or not sure if it’s the right fit for you? 🤔

Join our Q&A session about the course, happening tomorrow:

📅 Date: Tuesday, August 26, 1:00 – 2:00 PM (CET)

🔗 Registration: https://lnkd.in/der4JeVH

Looking forward to seeing you there!"
